publisher,genres,game,title,release_date,price,id,developer
SEGA,"['RPG', 'Strategy']",Endless Legend™ - Echoes of Auriga,Endless Legend™ - Echoes of Auriga,2015,2.99,415700,AMPLITUDE Studios
,"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - 5E: The Fiddler's Lament,Fantasy Grounds - 5E: The Fiddler's Lament,2015,4.99,420731,"SmiteWorks USA, LLC"
,['Indie'],Demented - Soundtrack,Demented - Soundtrack,2015,0.99,421200,VisualTech48
Degica,"['Indie', 'RPG']",Celestial Tear: Demon's Revenge,Celestial Tear: Demon's Revenge,2015,5.99,385190,"White Guardian Studios, LLC"
Sapphire Dragon Productions,"['Casual', 'Indie', 'Simulation']",True Lover's Knot,True Lover's Knot,2015,6.99,416630,Sapphire Dragon Productions
2tainment,"['Simulation', 'Sports', 'Strategy']",Club Manager 2016,Club Manager 2016,2015,19.99,407190,Big Blaze
,"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - 5E: The Murmuring Fountain,Fantasy Grounds - 5E: The Murmuring Fountain,2015,4.99,420730,"SmiteWorks USA, LLC"
,"['Action', 'Indie']",Mayan Death Robots,Mayan Death Robots,2015,6.99,347470,Sileni Studios
varlamov5264,"['Action', 'Adventure', 'Indie', 'Early Access']",Bitardia,Bitardia,2015,4.99,405010,varlamov5264
Finalspark Gamestudios,"['Adventure', 'Early Access']",The Lost Island,The Lost Island,2015,9.99,416260,Finalspark Gamestudios
Buka Entertainment,['Strategy'],Chronostorm: Siberian Border,Chronostorm: Siberian Border,2009,0.99,361890,Ulysses Games
MetalBear,"['Action', 'Adventure', 'Casual', 'Indie']",Osteya,Osteya,2015,7.99,402980,MetalBear
Randomnine Ltd,"['Indie', 'RPG']",Cardinal Quest 2,Cardinal Quest 2,2015,14.99,378030,Randomnine Ltd
Loudpak Studios,"['Adventure', 'Indie', 'Early Access']",Rothschild: The Sheep Will Wake,Rothschild: The Sheep Will Wake,2015,9.99,413490,Loudpak Studios
Transcendent Games,"['Indie', 'Simulation']",Gender Bender DNA Twister Extreme,Gender Bender DNA Twister Extreme,2014,24.99,321060,Transcendent Games
,"['Free to Play', 'Massively Multiplayer']",Metal Reaper Online - Special Reinforce Package,Metal Reaper Online - Special Reinforce Package,2015,,411410,N2Games
,"['Free to Play', 'Massively Multiplayer']",Metal Reaper Online - Boss Summon Package,Metal Reaper Online - Boss Summon Package,2015,,413000,N2Games
,"['Free to Play', 'Massively Multiplayer']",Metal Reaper Online - Military Package,Metal Reaper Online - Military Package,2015,,413001,N2Games
FrameLineNetwork,['Strategy'],Jurassic Island: The Dinosaur Zoo,Jurassic Island: The Dinosaur Zoo,2015,3.99,378420,FrameLineNetwork
"Oddworld Inhabitants, Inc.","['Adventure', 'Indie']",Oddworld: Abe's Oddysee - Official Soundtrack,Oddworld: Abe's Oddysee - Official Soundtrack,2015,4.99,400780,"Oddworld Inhabitants, Inc."
Stately Snail,"['Action', 'Indie', 'RPG']",One More Dungeon,One More Dungeon,2015,4.99,415030,Stately Snail
"Oddworld Inhabitants, Inc.","['Adventure', 'Indie']",Oddworld: New 'n' Tasty - Official Soundtrack,Oddworld: New 'n' Tasty - Official Soundtrack,2015,4.99,391880,"Oddworld Inhabitants, Inc."
Frima Studio,"['Adventure', 'Indie']",Chariot Royal Gadget Pack,Chariot Royal Gadget Pack,2015,2.99,396520,Frima Studio
Fishing Planet LLC,"['Free to Play', 'Massively Multiplayer', 'Simulation', 'Sports']",Fishing Planet: Cornucopia Pack,Fishing Planet: Cornucopia Pack,2015,12.99,421760,Fishing Planet LLC
Moving Pixel Games,"['Casual', 'Indie']",Mass Vector,Mass Vector,2015,5.99,411070,Moving Pixel Games
Kingdom Games,"['Action', 'Adventure', 'RPG']",FIVE: Guardians of David,FIVE: Guardians of David,2015,9.99,387010,Kingdom Games
Individual Software,['Software Training'],Professor Teaches QuickBooks 2016,Professor Teaches QuickBooks 2016,2015,14.99,418290,Individual Software
Overcurfew,"['Action', 'Adventure', 'Indie', 'Strategy']",Tidal Affair: Before The Storm,Tidal Affair: Before The Storm,2015,9.99,396930,Overcurfew
,"['Action', 'Adventure', 'Indie', 'Strategy']",Before The Storm Soundtrack,Before The Storm Soundtrack,2015,6.99,422280,Overcurfew
devotid Media,"['Action', 'Indie', 'Racing', 'Simulation', 'Sports', 'Early Access']",RC Simulation 2.0,RC Simulation 2.0,2015,14.99,381750,devotid
G.rev Ltd.,['Action'],Strania - The Stella Machina -,Strania - The Stella Machina -,2015,14.99,407380,G.rev Ltd.
Screen 7,"['Adventure', 'Indie']",The Cat Lady Album (Music From The Video Game),The Cat Lady Album (Music From The Video Game),2015,3.99,395460,Harvester Games
BANDAI NAMCO Entertainment,['Action'],Saint Seiya: Soldiers' Soul,Saint Seiya: Soldiers' Soul,2015,49.99,348710,DIMPS
YOX-Project,['Indie'],BAD END,BAD END,2015,1.99,415850,Arai Koh Create Office
Ripstone Ltd,"['Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']",Pure Hold'em - Vortex Chip Set,Pure Hold'em - Vortex Chip Set,2015,2.99,342600,VooFoo Studios Ltd
Tartezal Holdings Ltd.,"['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']",Астролорды: Быстрый старт,Астролорды: Быстрый старт,2015,12.99,417190,Aratog LLC
SoftPlanet,"['Racing', 'Simulation', 'Sports']",FIM Speedway Grand Prix 15,FIM Speedway Grand Prix 15,2015,24.99,348820,SoftPlanet
Square Enix,"['Action', 'Adventure']","Just Cause™ 3 DLC: Air, Land & Sea Expansion Pass","Just Cause™ 3 DLC: Air, Land &amp; Sea Expansion Pass",2015,24.99,401850,Avalanche Studios
Square Enix,"['Action', 'Adventure']",Just Cause™ 3,Just Cause™ 3,2015,49.99,225540,Avalanche Studios
Jace Masula,"['Adventure', 'Indie', 'Simulation']",Astrox: Hostile Space Excavation,Astrox: Hostile Space Excavation,2015,9.99,414720,Jace Masula
Carlotta Tatti,"['Action', 'Indie']",Wonky Pigeon!,Wonky Pigeon!,2015,4.99,364710,Carlotta Tatti
T-Rex Games,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Monkey King Saga,Monkey King Saga,2015,4.99,417350,T-Rex Games
,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",Monaco Soundtrack by Austin Wintory,Monaco Soundtrack by Austin Wintory,2013,4.99,416920,Pocketwatch Games
,"['Action', 'Indie']",Soundtrack,Soundtrack,2015,2.99,411110,Ink Stains Games
Cheerful Ghost,"['Action', 'Indie']",Starship Rubicon Demo,Starship Rubicon Demo,2014,,422170,Wickworks
,"['Casual', 'Simulation']",Rocksmith® 2014 – Skillet - “Monster”,Rocksmith® 2014 – Skillet - “Monster”,2015,2.99,390396,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Skillet - “Hero”,Rocksmith® 2014 – Skillet - “Hero”,2015,2.99,390397,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Skillet - “Awake and Alive”,Rocksmith® 2014 – Skillet - “Awake and Alive”,2015,2.99,390398,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Skillet Song Pack,Rocksmith® 2014 – Skillet Song Pack,2015,7.99,390399,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Band of Merrymakers - “Must Be Christmas”,Rocksmith® 2014 – Band of Merrymakers - “Must Be Christmas”,2015,2.99,390400,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Band of Merrymakers - “Joy to the World”,Rocksmith® 2014 – Band of Merrymakers - “Joy to the World”,2015,2.99,390401,Ubisoft - San Francisco
SEGA,"['Simulation', 'Sports']",Eastside Hockey Manager,Eastside Hockey Manager,2015,19.99,301120,Sports Interactive
Daedalic Entertainment,"['Indie', 'Simulation', 'Strategy']",Valhalla Hills,Valhalla Hills,2015,19.99,351910,Funatics Software
Daedalic Entertainment,"['Indie', 'Simulation', 'Strategy']",Valhalla Hills: Two-Horned Helmet Edition,Valhalla Hills: Two-Horned Helmet Edition,2015,29.99,394340,Funatics Software
,"['Action', 'Indie']",Last Horizon OST,Last Horizon OST,2015,4.99,424950,Pixeljam
Jemy,"['Indie', 'RPG', 'Simulation']",The Light Empire,The Light Empire,2015,5.99,416220,Jemy
,,Sculpting and Rendering an Axehead Demon,Sculpting and Rendering an Axehead Demon,2015,14.99,419550,
,,Sculpting and Rendering a Biomech Creature Bust,Sculpting and Rendering a Biomech Creature Bust,2015,9.99,419610,
,,Creature Concepting In 3D,Creature Concepting In 3D,2015,14.99,419620,
Rockodile,"['Adventure', 'Casual', 'Indie']",Lowglow,Lowglow,2015,7.99,405950,Rockodile
Gateside Games,"['Indie', 'RPG', 'Early Access']",Zombie Office Politics,Zombie Office Politics,2015,3.99,412860,
Tactic Studios Inc.,"['Free to Play', 'Indie', 'RPG', 'Strategy']",Immortal Empire,Immortal Empire,2015,0,344190,Tactic Studios Inc.
Dovetail Games - Flight,['Simulation'],FSX: Steam Edition - Skychaser Add-On,FSX: Steam Edition - Skychaser Add-On,2015,19.99,379564,Dovetail Games
,,Sculpting and Rendering a Cthulhu Bust,Sculpting and Rendering a Cthulhu Bust,2015,9.99,419640,
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],COH 2 - British Commander: Vanguard Operations Regiment,COH 2 - British Commander: Vanguard Operations Regiment,2015,3.99,260291,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],COH 2 - British Commander: Special Weapons Regiment,COH 2 - British Commander: Special Weapons Regiment,2015,3.99,260293,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],COH 2 - British Commander: Tactical Support Regiment,COH 2 - British Commander: Tactical Support Regiment,2015,3.99,260292,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
,"['Action', 'Adventure', 'RPG']",ReVen: XBridge Soundtrack,ReVen: XBridge Soundtrack,2015,4.99,425100,Varia Games
,"['Casual', 'Indie']",The BoX - OST,The BoX - OST,2015,4.99,424800,White Clover Worlds
Terminal Press,"['Action', 'Casual', 'Indie']",Death Goat Soundtrack Vol. 1,Death Goat Soundtrack Vol. 1,2015,6.99,417770,Terminal Press
"Degica, Chara-Ani",['Action'],DARIUSBURST Chronicle Saviours,DARIUSBURST Chronicle Saviours,2015,49.99,377870,Pyramid
Bankroll Studios,"['Action', 'Adventure', 'Simulation', 'Early Access']",Hurtworld,Hurtworld,2015,24.99,393420,Bankroll Studios
AGM PLAYISM,"['Adventure', 'Indie']",An Octave Higher - Extended Soundtrack,An Octave Higher - Extended Soundtrack,2015,2.99,415431,Kidalang
AGM PLAYISM,"['Adventure', 'Indie']",An Octave Higher - Basic Soundtrack,An Octave Higher - Basic Soundtrack,2015,0,415430,Kidalang
Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",MotoGP™15: Season Pass,MotoGP™15: Season Pass,2015,14.99,374810,Milestone S.r.l.
Threaks,"['Action', 'Casual', 'Indie']",Beatbuddy: On Tour - Original Soundtrack,Beatbuddy: On Tour - Original Soundtrack,2015,3.99,412980,Threaks
KISS ltd,"['Action', 'Indie', 'Simulation']",AX:EL - Air XenoDawn,AX:EL - Air XenoDawn,2015,,319830,Alex Piola
Mozg Labs,"['Adventure', 'Indie', 'RPG', 'Strategy']",Into the Void,Into the Void,2015,4.99,420270,Mozg Labs
Aldorlea Games,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",Threads of Destiny,Threads of Destiny,2015,2.99,424870,Warfare Studios
Lazy Monday Ltd,"['Casual', 'Indie']",Reveal The Deep,Reveal The Deep,2015,0.99,411560,Lazy Monday Games
,"['Adventure', 'Indie', 'RPG', 'Simulation']",Our Love Will Grow - Farmer's Handbook,Our Love Will Grow - Farmer's Handbook,2015,1.99,425130,John Wizard
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Demolitionist Pack,HELLDIVERS™ - Demolitionist Pack,2015,2.99,395235,Arrowhead Game Studio
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Hazard Ops Pack,HELLDIVERS™ - Hazard Ops Pack,2015,2.99,395236,Arrowhead Game Studios
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Specialist Pack,HELLDIVERS™ - Specialist Pack,2015,2.99,395237,Arrowhead Game Studios
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Weapons Pack,HELLDIVERS™ - Weapons Pack,2015,2.99,395238,Arrowhead Game Studios
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Entrenched Pack,HELLDIVERS™ - Entrenched Pack,2015,2.99,396170,Arrowhead Game Studios
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Terrain Specialist Pack,HELLDIVERS™ - Terrain Specialist Pack,2015,2.99,396172,Arrowhead Game Studios
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Precision Expert Pack,HELLDIVERS™ - Precision Expert Pack,2015,2.99,396173,Arrowhead Game Studios
Quickfire Games,"['Indie', 'RPG', 'Simulation']",Wild Season,Wild Season,2015,16.99,328220,Quickfire Games
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Pistols Perk Pack,HELLDIVERS™ - Pistols Perk Pack,2015,2.99,396171,Arrowhead Game Studios
PlayStation Mobile Inc.,['Action'],HELLDIVERS™ - Vehicles Pack,HELLDIVERS™ - Vehicles Pack,2015,3.99,395239,Arrowhead Game Studios
Miolhr SM,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",Survive Me Miolhr,Survive Me Miolhr,2016,9.99,418430,Miolhr SM
,"['Indie', 'RPG', 'Strategy']",Fantasy Grounds - D&D Complete Dungeon Master's Guide,Fantasy Grounds - D&amp;D Complete Dungeon Master's Guide,2015,29.99,422580,"SmiteWorks USA, LLC"
,"['Action', 'Indie']",Void Invaders - Soundtrack,Void Invaders - Soundtrack,2015,0,416900,VoidDev
Tochas Studios,"['Action', 'Indie']",SodaCity,SodaCity,2015,9.99,424210,Tochas Studios
Hajime Doujin Circle,['Indie'],Theme Song OST - Cinderella feat. Meilun,Theme Song OST - Cinderella feat. Meilun,2015,0.99,425500,LeeTingChou
Instant Kingdom,"['Action', 'Adventure', 'Indie', 'RPG']",Notrium,Notrium,2003,1.99,349100,Instant Kingdom
Tochas Studios,"['Action', 'Indie']",SodaCity - Original Soundtrack,SodaCity - Original Soundtrack,2015,4.99,424240,Tochas Studios
Dharker Studio,"['Adventure', 'Indie']",Highschool Possession,Highschool Possession,2015,6.99,408770,Dharker Studio
,"['Animation &amp; Modeling', 'Video Production']",FaceRig Live2D Module,FaceRig Live2D Module,2015,3.99,420680,Holotech Studios
Stardock Entertainment,"['Indie', 'Strategy']",Galactic Civilizations III - Precursor Worlds DLC,Galactic Civilizations III - Precursor Worlds DLC,2015,3.99,420030,Stardock Entertainment
Arc System Works,['Action'],GGXrd Extra Color Palettes - ELPHELT VALENTINE,GGXrd Extra Color Palettes - ELPHELT VALENTINE,2015,0.99,419965,Arc System Works
Arc System Works,['Action'],GUILTY GEAR Xrd -SIGN-,GUILTY GEAR Xrd -SIGN-,2015,29.99,376300,Arc System Works
Arc System Works,['Action'],GGXrd Extra Color Palettes - SIN KISKE,GGXrd Extra Color Palettes - SIN KISKE,2015,0.99,419964,Arc System Works
Arc System Works,['Action'],GGXrd Extra Color Palettes - RAMLETHAL VALENTINE,GGXrd Extra Color Palettes - RAMLETHAL VALENTINE,2015,0.99,419963,Arc System Works
Arc System Works,['Action'],GGXrd Extra Color Palettes - ZATO-1,GGXrd Extra Color Palettes - ZATO-1,2015,0.99,419961,Arc System Works
SEGA,['Strategy'],Total War: ATTILA - Age of Charlemagne Campaign Pack,Total War: ATTILA - Age of Charlemagne Campaign Pack,2015,14.99,343464,Creative Assembly
Arc System Works,['Action'],GGXrd Extra Color Palettes - I-NO,GGXrd Extra Color Palettes - I-NO,2015,0.99,419949,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - MAY,GGXrd System Voice - MAY,2015,0.99,419475,Arc System Works
Arc System Works,['Action'],GGXrd Extra Color Palettes - BEDMAN,GGXrd Extra Color Palettes - BEDMAN,2015,0.99,419962,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - KY KISKE,GGXrd System Voice - KY KISKE,2015,0.99,419474,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - SOL BADGUY,GGXrd System Voice - SOL BADGUY,2015,0.99,419473,Arc System Works
Arc System Works,['Action'],GGXrd Extra Color Palettes - SLAYER,GGXrd Extra Color Palettes - SLAYER,2015,0.99,419960,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - ELPHELT VALENTINE,GGXrd System Voice - ELPHELT VALENTINE,2015,0.99,419938,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - SIN KISKE,GGXrd System Voice - SIN KISKE,2015,0.99,419937,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - ZATO-1,GGXrd System Voice - ZATO-1,2015,0.99,419934,Arc System Works
Arc System Works,['Action'],GGXrd System Voice - I-NO,GGXrd System Voice - I-NO,2015,0.99,419932,Arc System Works
KISS ltd,"['Indie', 'Strategy']",Foresight OST,Foresight OST,2015,3.99,409060,"Strides Interactive,Jeremy Lee"
Rainy Night Creations,"['Action', 'Adventure', 'Indie']",FreezeME,FreezeME,2015,13.99,390210,Rainy Night Creations
Ubisoft - San Francisco,['Casual'],Tetris® Ultimate,Tetris® Ultimate,2015,14.99,316750,Ubisoft - San Francisco
Quality Simulations,"['Indie', 'Simulation']",South West Europe Scenery Collection,South West Europe Scenery Collection,2015,0,420340,Quality Simulations
Piranha Games Inc.,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation', 'Strategy']",MechWarrior Online™,MechWarrior Online™,2015,0,342200,Piranha Games Inc.
Ankama Games,"['Free to Play', 'Strategy']",Krosmaster - Ogrest Pack,Krosmaster - Ogrest Pack,2015,5.99,420322,Ankama Studio
Lupus Studios Limited,"['Indie', 'Simulation']",Cosplay Maker,Cosplay Maker,2015,14.99,299090,Locked Door Puzzle
Degica,['Simulation'],A-Train 9 V4.0 : Mega Japan Train Pack,A-Train 9 V4.0 : Mega Japan Train Pack,2015,0,418140,ARTDINK
Strategy First,"['Action', 'Casual', 'Indie']",Vector Assault,Vector Assault,2015,4.99,425860,Wizbyte Games
Brainwashing games,"['RPG', 'Strategy']",The Glow,The Glow,2015,3.99,424060,Brainwashing games
Brainbox Software,"['Action', 'Adventure', 'Indie']",Dragon's Wake,Dragon's Wake,2015,3.99,399070,Brainbox Software
,"['Action', 'Adventure', 'Indie']",Dragon's Wake - Soundtrack,Dragon's Wake - Soundtrack,2015,1.99,425710,Brainbox Software
Exordium Games,"['Action', 'Indie']",Zero Reflex Soundtrack,Zero Reflex Soundtrack,2015,0,427020,Exordium Games
8Floor,"['Adventure', 'Casual']",Contract With The Devil,Contract With The Devil,2015,5.99,409600,AZ-Art Development Studio
Best Way Soft,"['Action', 'Indie', 'Strategy']",Battle of Empires : 1914-1918 - German campaign,Battle of Empires : 1914-1918 - German campaign,2015,4.99,340640,Great War Team
Dovetail Games - Trains,['Simulation'],Train Simulator: Semmeringbahn - Mürzzuschlag to Gloggnitz Route Add-On,Train Simulator: Semmeringbahn - Mürzzuschlag to Gloggnitz Route Add-On,2015,19.99,325990,Dovetail Games
Aldorlea Games,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",OH! RPG!,OH! RPG!,2015,2.99,421810,RosePortal Games
Prologue Games,"['Adventure', 'Casual', 'Indie']",Knee Deep Demo,Knee Deep Demo,2015,,427090,Prologue Games
,,Dangerous Men,Dangerous Men,2015,4.99,422540,
,['Strategy'],NA: Tenshouki WPK HD - Face CG Set /有名武将 追加顔CG（60点セット）,NA: Tenshouki WPK HD - Face CG Set /有名武将 追加顔CG（60点セット）,2015,2.99,404190,
BlewScreen,"['Action', 'Indie', 'Simulation', 'Strategy']",Gulf of Aden - Task Force Somalia,Gulf of Aden - Task Force Somalia,2015,8.99,407100,BlewScreen
Antonio Renna,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",Gabe Newell Simulator 2.0,Gabe Newell Simulator 2.0,2015,3.0,407420,Antonio Renna
Paradox Interactive,"['Action', 'Adventure']","Magicka 2: Ice, Death and Fury","Magicka 2: Ice, Death and Fury",2015,9.99,414651,Paradox Arctic
Devolver Digital,"['Adventure', 'Indie']",Hatoful Boyfriend: Holiday Star,Hatoful Boyfriend: Holiday Star,2015,9.99,377080,"Mediatonic,The Irregular Corporation"
,"['Action', 'Indie']",Rubber Ducky and the Rainbow Gun OST,Rubber Ducky and the Rainbow Gun OST,2015,0.99,420810,John Szymanski
,"['Animation &amp; Modeling', 'Video Production']",FaceRig Winter Holidays Avatars 2015,FaceRig Winter Holidays Avatars 2015,2015,4.99,420821,Holotech Studios
,"['Indie', 'Racing', 'Simulation', 'Sports']",Assetto Corsa - Dream Pack 3,Assetto Corsa - Dream Pack 3,2015,7.99,423630,Kunos Simulazioni
Sierra,['Adventure'],King's Quest - Chapter 2: Rubble Without A Cause,King's Quest - Chapter 2: Rubble Without A Cause,2015,9.99,360270,The Odd Gentlemen
Long Division LLC,"['Action', 'Adventure', 'Indie']",Turnover,Turnover,2015,9.99,372250,Long Division LLC
Gigatross Games,"['Casual', 'Indie', 'Strategy']",Gigachess,Gigachess,2015,3.99,415910,Gigatross Games
Logic tree,"['Action', 'Adventure', 'Indie', 'Simulation']",Colony Assault,Colony Assault,2015,2.99,398020,Logic tree
Activision,"['Action', 'Adventure']",Call of Duty®: Black Ops III - C.O.D.E. Warriors Personalization Pack,Call of Duty®: Black Ops III - C.O.D.E. Warriors Personalization Pack,2015,3.99,426730,Treyarch
John Szymanski,"['Action', 'Indie']",Rubber Ducky and the Rainbow Gun,Rubber Ducky and the Rainbow Gun,2015,0.99,416550,John Szymanski
Gigatross Games,"['Casual', 'Indie', 'Strategy']",Gigachess Demo,Gigachess Demo,2015,,424220,Gigatross Games
,"['Casual', 'Simulation']",Rocksmith® 2014 – Mötley Crüe - “Dr. Feelgood”,Rocksmith® 2014 – Mötley Crüe - “Dr. Feelgood”,2015,2.99,390407,Ubisoft - San Francisco
,"['Casual', 'Simulation']","Rocksmith® 2014 – Mötley Crüe - “Girls, Girls, Girls”","Rocksmith® 2014 – Mötley Crüe - “Girls, Girls, Girls”",2015,2.99,390408,Ubisoft - San Francisco
,"['Casual', 'Simulation']",Rocksmith® 2014 – Mötley Crüe Song Pack,Rocksmith® 2014 – Mötley Crüe Song Pack,2015,11.99,390411,Ubisoft - San Francisco
Retroism,"['Action', 'Adventure']",Bubsy Two-Fur,Bubsy Two-Fur,1993,4.99,426630,Accolade
,"['Casual', 'Simulation']",Rocksmith® 2014 – Mötley Crüe - “Shout at the Devil”,Rocksmith® 2014 – Mötley Crüe - “Shout at the Devil”,2015,2.99,390409,Ubisoft - San Francisco
Code}{atch,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']",Reign Of Kings,Reign Of Kings,2015,19.99,344760,Code}{atch
Dovetail Games - Flight,['Simulation'],FSX: Steam Edition - Piper Aztec Add-On,FSX: Steam Edition - Piper Aztec Add-On,2015,19.99,379568,Aeroplane Heaven
Yeti Studio©,"['Adventure', 'Indie', 'Early Access']",AWAKE,AWAKE,2015,4.99,421110,Diios
,['Action'],Tom Clancy's Rainbow Six® Siege - Ultra HD Texture Pack,Tom Clancy's Rainbow Six® Siege - Ultra HD Texture Pack,2015,0,377560,Ubisoft Montreal
TERNOX,"['Action', 'Adventure', 'Indie']",Taimumari,Taimumari,2015,4.99,375520,TERNOX
Square Enix,['RPG'],FINAL FANTASY VI,FINAL FANTASY VI,2015,15.99,382900,Square Enix
Tipping Goat LLC,"['Action', 'Indie', 'Sports']",Super Slam Dunk Touchdown,Super Slam Dunk Touchdown,2015,15.0,388260,Tipping Goat LLC
Forever Entertainment S. A.,"['Adventure', 'Indie', 'RPG']",Sinless + OST,Sinless + OST,2015,4.99,340320,MGP Studios
Squid In A Box Ltd,"['Action', 'Casual', 'Indie', 'Early Access']",Waves 2,Waves 2,2015,9.99,217120,Squid In A Box Ltd
,"['Action', 'Indie']",Depth - Battle-scarred Bull Skin,Depth - Battle-scarred Bull Skin,2015,5.99,423853,Digital Confectioners
,"['Action', 'Indie']",Depth - Digital Ice & Fire Pack,Depth - Digital Ice &amp; Fire Pack,2015,5.99,423850,Digital Confectioners
,"['Action', 'Indie']",Depth - Soundtrack,Depth - Soundtrack,2015,4.99,423852,Digital Confectioners
,"['Action', 'Indie']",Depth - Viktor Diver Pack,Depth - Viktor Diver Pack,2015,5.99,418820,Digital Confectioners
,"['Design &amp; Illustration', 'Web Publishing']",RPG Maker MV - Season Pass,RPG Maker MV - Season Pass,2015,29.99,426100,"KADOKAWA,Yoji Ojima"
,"['Action', 'Indie']",Depth - Digital Artbook,Depth - Digital Artbook,2015,4.99,423851,Digital Confectioners
,"['Action', 'Indie']",Depth - Corsair Pack,Depth - Corsair Pack,2015,4.99,414180,Digital Confectioners
"H2 Interactive Co., Ltd.","['Action', 'Adventure', 'Sports']",River City Super Sports Challenge ~All Stars Special~,River City Super Sports Challenge ~All Stars Special~,2015,19.99,326340,Arc System Works
Choice of Games,"['Indie', 'RPG']",MetaHuman Inc. Demo,MetaHuman Inc. Demo,2015,,426340,Choice of Games
Choice of Games,"['Indie', 'RPG']",MetaHuman Inc.,MetaHuman Inc.,2015,9.99,426330,Choice of Games
Nurgo Software,['Utilities'],AquaSnap Window Manager,AquaSnap Window Manager,2015,18.99,391050,Nurgo Software
Axed Game Studio,"['Indie', 'Strategy']",In The Dead Of Night - Urszula's Revenge,In The Dead Of Night - Urszula's Revenge,2015,4.99,416430,Axed Game Studio
Colludium Ltd,"['Action', 'Indie']",Umbra: Shadow of Death Demo,Umbra: Shadow of Death Demo,2015,,426650,Colludium Ltd
Rsupport Inc.,"['Audio Production', 'Education', 'Software Training', 'Video Production', 'Web Publishing']",liteCam Game 5:  120 FPS Game Capture + Streamer,liteCam Game 5:  120 FPS Game Capture + Streamer,2015,19.99,428800,Rsupport Inc.
TreeFortress Games,"['Action', 'Adventure', 'Indie', 'Racing']",JumpJet Rex Demo,JumpJet Rex Demo,2015,,360250,TreeFortress Games
Crescent Moon Games,"['Indie', 'Early Access']",Mines of Mars,Mines of Mars,2015,6.99,413740,Wickey Ware
CM Softworks,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",The Withering,The Withering,2015,9.99,427950,CM Softworks
ANPA.US,"['Action', 'Adventure', 'Indie', 'Simulation']",Dinosaur Hunt - Dragon Hunter Expansion Pack,Dinosaur Hunt - Dragon Hunter Expansion Pack,2015,0.99,408102,ANPA.US
GeexGames,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",The fall of gods,The fall of gods,2015,1.99,424170,GeexGames
Perfect Square Studios,['Indie'],Goodnight Butcher,Goodnight Butcher,2015,1.99,426040,Perfect Square Studios
Cameron Baxter,"['Action', 'Adventure', 'Indie']",Retaliation,Retaliation,2015,0,418280,"Cameron Baxter,Billy Jazz Hills Stickley"
,"['Adventure', 'Indie']",The Room of Black & White Soundtracks,The Room of Black &amp; White Soundtracks,2015,0.99,429990,Studio Wonderkey
Red Team Games,"['Free to Play', 'Indie', 'Massively Multiplayer', 'Strategy']",Cards and Castles,Cards and Castles,2015,0,360730,Red Team Games
Studio Wonderkey,"['Adventure', 'Indie']",The Room of Black & White,The Room of Black &amp; White,2015,4.99,402000,Studio Wonderkey
